relation,postag1,postag2,entity1,entity2,reverse,prediction
MODEL-FEATURE,NNS,NNS,frequency profiles,parallel concordances,FALSE,MODEL-FEATURE
USAGE,NNS,NN,shift-reduce dependency parsers,Chine language,FALSE,PART_WHOLE
PART_WHOLE,NNS,NN,utterances,discourse,FALSE,PART_WHOLE
USAGE,NNP,NN,Dynamic Hierarchical Phrasal Lexicon,language acquisition,FALSE,COMPARE
RESULT,NN,NN,processing,discourse,FALSE,PART_WHOLE
RESULT,NN,NNS,free indexation,referential properties of noun phrases,FALSE,MODEL-FEATURE
COMPARE,NNS,NN,traditional knowledge-based techniques,corpus-based approach,FALSE,PART_WHOLE
MODEL-FEATURE,NNP,NN,Turkish,agglutinating free word order language,TRUE,MODEL-FEATURE
USAGE,NN,NNS,probabilistic model,information extraction tasks,FALSE,USAGE
TOPIC,NNP,NN,Statistical Machine Translation,SMT research community,TRUE,USAGE
USAGE,VBG,NNP,parsing,PCFG-LA,TRUE,USAGE
RESULT,VBG,NN,phrase chunking,performance improvement,FALSE,USAGE
COMPARE,NNP,NN,Temporal Expression Anchoror,baseline,FALSE,COMPARE
MODEL-FEATURE,NN,NNS,model theoretic interpretation,f-structures,FALSE,MODEL-FEATURE
RESULT,NN,VBG,accuracy,part of speech (pos) tagging,TRUE,RESULT
USAGE,NNS,NN,different-quality references,evaluation,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,subcategorization frames,verb,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,meaning,tenses,FALSE,MODEL-FEATURE
USAGE,NNS,NN,machine-readable dictionaries,broad coverage lexicon,FALSE,PART_WHOLE
USAGE,NN,NN,segment-based approach,phonetic recognition,FALSE,USAGE
USAGE,NN,NN,extraction tool,German text corpora,FALSE,USAGE
USAGE,NN,NNP,interactive question-answering (Q/A) system,automatic Q/A,FALSE,USAGE
USAGE,NN,NN,pushdown automaton,stack,TRUE,USAGE
COMPARE,NNP,NNP,SL,TL,FALSE,USAGE
USAGE,NN,NNS,focus,speech synthesis systems,FALSE,PART_WHOLE
RESULT,NNS,NN,interpolation methods,performance,FALSE,RESULT
MODEL-FEATURE,NNS,NNS,models,probabilistic context-free grammars,TRUE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,verbs,multiple complementation patterns,TRUE,MODEL-FEATURE
USAGE,NN,NNS,IE paradigm,predicate-argument structures,TRUE,USAGE
RESULT,NN,NN,model,performance,FALSE,RESULT
MODEL-FEATURE,NNS,NNS,words,frequency classes,TRUE,PART_WHOLE
MODEL-FEATURE,NN,NNS,presuppositional nature,sentences,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,modules,architecture,FALSE,PART_WHOLE
USAGE,NN,NN,parsing,Wall Street Journal treebank,FALSE,USAGE
TOPIC,NNS,NNP,computational semantic analyses,English,FALSE,PART_WHOLE
COMPARE,NN,NN,Praguian dependency-based approach,Penn discourse annotation,FALSE,USAGE
USAGE,NNS,NN,cooccurrence statistics,disambiguation tool,FALSE,PART_WHOLE
RESULT,NN,NN,paraphrasing method,precision,FALSE,USAGE
COMPARE,NNP,NNP,LEXSYS,XTAG,FALSE,USAGE
USAGE,NN,NNS,event map,documents,TRUE,USAGE
MODEL-FEATURE,NN,NNP,corpus,Child Language Data Exchange System,TRUE,PART_WHOLE
USAGE,NN,NNS,explanation generation,"""semantically rich"," large-scale knowledge bases""",TRUE,COMPARE
MODEL-FEATURE,NN,NNS,verb final language,overt case markers,TRUE,USAGE
COMPARE,NNS,NNS,SMT models,WSD models,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,conventional statistical methods,large corpora,TRUE,PART_WHOLE
MODEL-FEATURE,NNS,NNP,regular languages,formal intersections of FSAs,TRUE,PART_WHOLE
MODEL-FEATURE,NN,VBZ,verbs,frames,TRUE,MODEL-FEATURE
USAGE,NNP,NN,English Wikipedia,target corpus,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,grammar sensu stricto,treebank,TRUE,USAGE
MODEL-FEATURE,NN,NNS,similarity,word vectors,TRUE,MODEL-FEATURE
PART_WHOLE,NN,NNS,semantically unmarked term,antonymous adjectives,FALSE,MODEL-FEATURE
USAGE,NNS,NN,discovering parallel sentences,"""comparable"," non-parallel corpora""",FALSE,PART_WHOLE
PART_WHOLE,NN,NNS,word-sense ambiguity,machine-readable resources,FALSE,MODEL-FEATURE
USAGE,NNS,NN,training techniques,decision-making,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,quality,utterances,FALSE,MODEL-FEATURE
USAGE,NN,NN,model,error correction,FALSE,RESULT
USAGE,NNS,NN,dictionary-based word vectors,taxonomic similarity,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,discursive usage,Chinese punctuation marks,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,clustering and filtering processes,electronic newsgroup discussions,FALSE,MODEL-FEATURE
USAGE,NN,NN,algorithm,discourse context,FALSE,USAGE
USAGE,NNS,NNS,Japanese parsers,decision trees,TRUE,PART_WHOLE
PART_WHOLE,NNS,NN,segments,dialogue,FALSE,MODEL-FEATURE
USAGE,NNS,NN,features,lexical similarity,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,spatial attributes,entities,FALSE,MODEL-FEATURE
RESULT,NN,NN,accuracy,language identification,TRUE,RESULT
COMPARE,NN,NN,logical model,denotational semantics,FALSE,USAGE
RESULT,NN,NN,system,70% precision,FALSE,USAGE
MODEL-FEATURE,NN,NNS,significance,words,FALSE,MODEL-FEATURE
COMPARE,NN,NN,task-specific domain knowledge,general linguistic knowledge,FALSE,USAGE
MODEL-FEATURE,NNP,NNS,English,corpus data,FALSE,COMPARE
PART_WHOLE,NN,NN,transition graphs,deterministic finite automaton,FALSE,USAGE
USAGE,NN,NN,natural language system,ungrammatical input,FALSE,USAGE
USAGE,NNS,NN,lexicons,operational foreign language tutoring,FALSE,PART_WHOLE
USAGE,NN,NNS,parser,structural and lexical dependencies,TRUE,USAGE
MODEL-FEATURE,NN,NN,derivational history,reduced IL formulae,FALSE,USAGE
USAGE,NN,NN,parser,text-to-speech conversion system,FALSE,USAGE
USAGE,VBZ,NN,topic signatures,WSD task,FALSE,COMPARE
PART_WHOLE,NNS,NNS,live closed captions,unknown words,TRUE,PART_WHOLE
COMPARE,NN,NNP,treebank,Penn WSJ,FALSE,USAGE
PART_WHOLE,NN,NN,transliteration,corpus,FALSE,USAGE
USAGE,NN,NN,adaptive learning procedure,syntactic ambiguity resolution,FALSE,USAGE
MODEL-FEATURE,NN,NN,structure,information source,FALSE,USAGE
TOPIC,NNS,NN,Semantic theories,natural language,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,parallel data,"""Chinese", Arabic," and English non-parallel newspaper corpora""",FALSE,PART_WHOLE
