relation,postag1,postag2,entity1,entity2,reverse,prediction
USAGE,NNS,NNS,information retrieval techniques,keywords,True,TOPIC
USAGE,NN,NNS,oral communication,indices,False,MODEL-FEATURE
PART_WHOLE,NN,NNS,database,TV shows,True,USAGE
MODEL-FEATURE,NN,NNS,distributed message-passing infrastructure,dialogue systems,False,MODEL-FEATURE
PART_WHOLE,NN,NNS,CCLINC Korean-to-English translation system,core modules,True,USAGE
USAGE,NN,JJ,parsing,Korean,False,USAGE
MODEL-FEATURE,NN,NNS,verb final language,overt case markers,True,USAGE
USAGE,NN,NN,translation,word sense disambiguation,True,USAGE
USAGE,NNS,NN,automated evaluation techniques,output,False,PART_WHOLE
MODEL-FEATURE,NN,NN,intelligibility,MT output,False,RESULT
PART_WHOLE,NN,NNS,spoken language understanding system,intelligent mobile agents,True,USAGE
RESULT,NNS,NN,interpolation methods,performance,False,RESULT
RESULT,NN,NN,word string,performance,False,RESULT
RESULT,NN,NNP,word string,LM,True,TOPIC
USAGE,NN,NN,dynamic combiner,reference,True,TOPIC
RESULT,NN,NN,dynamic language model combination,performance,False,RESULT
MODEL-FEATURE,NNP,NNS,LMs,confidence measures,True,USAGE
MODEL-FEATURE,NNP,NN,LM,confidence,True,TOPIC
USAGE,NNS,NN,error-correction rules,Thai key prediction,False,COMPARE
USAGE,NN,NNS,mutual information,error-correction rules,False,MODEL-FEATURE
RESULT,NN,NN,accuracy,language identification,True,RESULT
MODEL-FEATURE,NNS,NN,sentence plans,text-plan input,False,COMPARE
USAGE,NNS,NNS,ranking rules,training data,True,TOPIC
COMPARE,NN,NN,sentence plan,top human-ranked sentence plan,False,RESULT
RESULT,NN,NN,retrieval performance,translation memory system,True,TOPIC
USAGE,NNS,NNS,bag-of-words and segment order-sensitive string comparison metho,character- and word-segmented data,False,MODEL-FEATURE
USAGE,VBG,NNS,indexing,character bigrams,True,USAGE
COMPARE,NNS,NNS,bag-of-words methods,segment order-sensitive methods,False,MODEL-FEATURE
USAGE,NN,NNP,range concatenation grammar [RCG] formalism,NLP,False,COMPARE
MODEL-FEATURE,NNS,NN,range concatenation languages,polynomial time,True,TOPIC
MODEL-FEATURE,NN,NN,tree adjoining grammar,O(n6) time,True,TOPIC
USAGE,NN,NNS,parsing technique,RCL parsers,False,MODEL-FEATURE
USAGE,NN,JJS,guide,shared derivation forest,True,TOPIC
USAGE,NN,NNP,RCL parser,superset of L,False,COMPARE
USAGE,VBG,NN,paraphrasing,interpretation and generation of natural language,False,RESULT
USAGE,NN,NNS,unsupervised learning algorithm,identification of paraphrases,False,MODEL-FEATURE
TOPIC,NN,NNS,formal analysis,alternative markers,False,MODEL-FEATURE
RESULT,NN,NN,performance,formal analysis,True,RESULT
PART_WHOLE,NNS,NNS,operational semantics,natural language applications,False,MODEL-FEATURE
USAGE,NN,NNS,learning algorithm,structured data,True,USAGE
MODEL-FEATURE,NN,NNS,quality,utterances,False,MODEL-FEATURE
COMPARE,NNS,NNS,trainable components,hand-crafted template-based or rule-based approaches,False,MODEL-FEATURE
USAGE,NN,NN,trainable sentence planner,spoken dialogue system,False,RESULT
COMPARE,NN,NNS,trainable sentence planner,rule-based systems,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NNP,statistical models,WH-questions,False,USAGE
MODEL-FEATURE,NNS,NNS,shallow linguistic features,questions,False,MODEL-FEATURE
RESULT,NN,NNS,predictive performance,models,True,USAGE
RESULT,NNS,NN,training and testing factors,predictive performance,False,COMPARE
USAGE,NN,NN,utterance classification,manual transcription,True,TOPIC
USAGE,NN,NN,word-trigram recognition,manual transcription,True,TOPIC
USAGE,NN,NN,unsupervised training,phone n-gram model,False,RESULT
USAGE,NN,NN,output,phone-string classifier,True,MODEL-FEATURE
USAGE,VBG,NNS,multi-strategy and multi-source approach to question answering,answering agents,True,USAGE
