relation,postag1,postag2,entity1,entity2,reverse,prediction
PART_WHOLE,NNS,NN,rule-invocation strategies,context-free chart parsing,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,words,capitalization,TRUE,PART_WHOLE
USAGE,NN,NNP,subcategorization frame,Information Bottleneck,TRUE,USAGE
MODEL-FEATURE,NNP,NNP,primitive Optimality Theory,OT,FALSE,COMPARE
MODEL-FEATURE,NN,NNS,parse forest representation,analyses for large treebank grammars,FALSE,MODEL-FEATURE
COMPARE,NN,NN,s-VSM model,VSM model,FALSE,USAGE
USAGE,NNS,NNP,computer-assisted acquisition and morpho-syntactic description of verb-noun collocations,Polish,FALSE,PART_WHOLE
COMPARE,NN,NN,probabilistic context-free grammar,probabilistic finite automaton,FALSE,USAGE
USAGE,NNS,NNS,lexical approaches,bilingual dictionaries,TRUE,MODEL-FEATURE
USAGE,NNS,NNS,classification-based representation techniques,unification-based linguistic descriptions,FALSE,MODEL-FEATURE
RESULT,NN,NNS,accuracy,SMT models,TRUE,RESULT
USAGE,NNP,NNS,Hierarchical Directed Acyclic Graph (HDAG) Kernel,structured natural language data,FALSE,COMPARE
MODEL-FEATURE,NN,NNS,text,unambiguous structures,TRUE,PART_WHOLE
USAGE,NN,NN,grammatical formalisms,context-free phrase-structure grammar,TRUE,USAGE
TOPIC,NNS,NN,dialog schemata,conversation analysis,TRUE,PART_WHOLE
PART_WHOLE,NNS,NNS,Languages,words,TRUE,MODEL-FEATURE
USAGE,NN,NN,parser,pos tag ambiguity,FALSE,USAGE
MODEL-FEATURE,NN,VBG,ambiguity,speech understanding,FALSE,RESULT
MODEL-FEATURE,NNS,NNS,features,sentences,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNS,analytical components,dialog motivators,FALSE,MODEL-FEATURE
USAGE,VBG,JJ,training,EM-algorithm,TRUE,USAGE
COMPARE,NNS,NNS,Chinese punctuation marks,cue phrases,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,words,information,FALSE,PART_WHOLE
RESULT,NN,NN,system,70% precision,FALSE,USAGE
MODEL-FEATURE,NNS,NN,human-machine interactions,natural language environment,TRUE,PART_WHOLE
MODEL-FEATURE,NNS,NN,predictions,ellipsis,FALSE,PART_WHOLE
TOPIC,NNS,NN,Semantic theories,natural language,FALSE,MODEL-FEATURE
USAGE,NN,NNS,model,finite-state models,TRUE,USAGE
USAGE,VBG,NN,post-processing,output,FALSE,RESULT
USAGE,NNP,NN,English Wikipedia,target corpus,FALSE,PART_WHOLE
USAGE,NNS,NN,Definite Clause Grammar techniques,parser,FALSE,PART_WHOLE
USAGE,NNS,NN,expectations,scruffy texts,FALSE,PART_WHOLE
RESULT,NN,VBZ,ambiguity,edges,FALSE,COMPARE
RESULT,NN,NN,word string,performance,FALSE,RESULT
MODEL-FEATURE,NN,NNS,language model,abstract moves,FALSE,MODEL-FEATURE
USAGE,NN,NNS,declarative formalism,mappings,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,context,polysemous word,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,references,pronoun,FALSE,MODEL-FEATURE
RESULT,NN,NNP,word string,LM,TRUE,USAGE
USAGE,NN,VBG,punctuation,parsing,FALSE,RESULT
PART_WHOLE,NNS,NN,utterances,discourse,FALSE,MODEL-FEATURE
COMPARE,NNS,NN,verb semantics,syntactic behavior,FALSE,PART_WHOLE
USAGE,NN,NN,language-independent system,automatic discovery of text,FALSE,USAGE
MODEL-FEATURE,NN,NNS,lexical weighting,phrase translations,FALSE,MODEL-FEATURE
USAGE,NN,NNS,generation,dialog systems,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,co-occurrence patterns,words,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NNS,blackboard-like architecture,partial theories,TRUE,USAGE
PART_WHOLE,NNS,NN,substrings,sentence,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,morpheme sequence,input,FALSE,USAGE
USAGE,NNS,NNS,TIPSTER applications,Graphical User Interface (GUI) functions,TRUE,MODEL-FEATURE
USAGE,VBG,NN,paraphrasing,interpretation and generation of natural language,FALSE,RESULT
USAGE,NN,NN,Arabic word segmenter,unsegmented Arabic corpus,TRUE,USAGE
USAGE,NN,NN,construction-specific approach,task-specific language development,FALSE,USAGE
PART_WHOLE,NN,VBG,user model,user modeling,FALSE,RESULT
MODEL-FEATURE,NNS,NNS,queries,wildcards,TRUE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,analytical inverses,compositional syntax rules,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNP,salience,MWEs,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,model theoretic interpretation,f-structures,FALSE,MODEL-FEATURE
USAGE,NN,VBG,evaluation measure,block reordering,FALSE,RESULT
MODEL-FEATURE,NNS,NN,words,context,TRUE,MODEL-FEATURE
COMPARE,NN,NN,logic,theory,FALSE,USAGE
USAGE,NNP,NNS,PAKTUS,JINTACCS messages,FALSE,COMPARE
USAGE,NN,NN,stemming model,statistical machine translation,TRUE,USAGE
MODEL-FEATURE,NN,NN,meaning,input,FALSE,MODEL-FEATURE
