Unnamed: 0,Unnamed: 0.1,Instances,Entity1ID,Entity2ID,Entity Pair,LabelInput,Pairs,Reverse,detail,label_index,means,word_x,positionInSentence_x,wordsInSentence_x,wordLen_x,relativePosition_x,posTag01_x,posTag02_x,posTag03_x,posTag04_x,posTag05_x,posTag06_x,posTag07_x,posTag08_x,posTag09_x,posTag10_x,posTag11_x,posTag12_x,lastLetterInt_x,firstLetterInt_x,word_y,positionInSentence_y,wordsInSentence_y,wordLen_y,relativePosition_y,posTag01_y,posTag02_y,posTag03_y,posTag04_y,posTag05_y,posTag06_y,posTag07_y,posTag08_y,posTag09_y,posTag10_y,posTag11_y,posTag12_y,lastLetterInt_y,firstLetterInt_y
2,2,"['information', 'retrieval', 'techniques', 'use', 'a', 'of', 'keywords']",H01-1001.5,H01-1001.7,"(H01-1001.5,H01-1001.7)",1,"['H01-1001.5', 'H01-1001.7']",True,USAGE,1,-0.0032298642838442765,information retrieval techniques,1.0,28.0,32.0,0.07142857142857142,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0,keywords,6.0,28.0,8.0,0.25,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,107.0
15,15,"['oral', 'communication', 'may', 'offer', 'additional', 'indices']",H01-1001.9,H01-1001.10,"(H01-1001.9,H01-1001.10)",1,"['H01-1001.9', 'H01-1001.10']",False,USAGE,1,-0.002153135417687773,oral communication,11.0,28.0,18.0,0.42857142857142855,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,111.0,indices,15.0,28.0,7.0,0.5714285714285714,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0
18,18,"['database', 'of', 'TV', 'shows']",H01-1001.14,H01-1001.15,"(H01-1001.14,H01-1001.15)",1,"['H01-1001.14', 'H01-1001.15']",True,PART_WHOLE,3,-0.0009452017870816316,database,31.0,34.0,8.0,0.9411764705882352,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,100.0,TV shows,33.0,34.0,8.0,1.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,84.0
38,38,"['distributed', 'message-passing', 'infrastructure', 'for', 'dialogue', 'systems']",H01-1017.4,H01-1017.5,"(H01-1017.4,H01-1017.5)",1,"['H01-1017.4', 'H01-1017.5']",False,MODEL-FEATURE,2,-0.002026317502424969,distributed message-passing infrastructure,24.0,33.0,42.0,0.7575757575757576,18.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,100.0,dialogue systems,26.0,33.0,16.0,0.8181818181818182,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,100.0
43,43,"['CCLINC', 'Korean-to-English', 'translation', 'system', 'consists', 'of', 'two', 'core', 'modules']",H01-1041.3,H01-1041.4,"(H01-1041.3,H01-1041.4)",1,"['H01-1041.3', 'H01-1041.4']",True,PART_WHOLE,3,-0.002322511216004689,CCLINC Korean-to-English translation system,1.0,14.0,43.0,0.14285714285714285,9.0,6.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,109.0,67.0,core modules,5.0,14.0,12.0,0.42857142857142855,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,99.0
53,53,"['parsing', 'of', 'Korean']",H01-1041.8,H01-1041.9,"(H01-1041.8,H01-1041.9)",1,"['H01-1041.8', 'H01-1041.9']",False,USAGE,1,-0.0022465842299991185,parsing,10.0,24.0,7.0,0.4583333333333333,17.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,103.0,112.0,Korean,12.0,24.0,6.0,0.5416666666666666,6.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,75.0
62,62,"['verb', 'final', 'language', 'with', 'overt', 'case', 'markers']",H01-1041.10,H01-1041.11,"(H01-1041.10,H01-1041.11)",1,"['H01-1041.10', 'H01-1041.11']",True,MODEL-FEATURE,2,-0.0027125643094380696,verb final language,14.0,24.0,19.0,0.625,9.0,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,118.0,overt case markers,16.0,24.0,18.0,0.7083333333333334,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,111.0
68,68,"['translation', 'via', 'word', 'sense', 'disambiguation']",H01-1041.14,H01-1041.15,"(H01-1041.14,H01-1041.15)",1,"['H01-1041.14', 'H01-1041.15']",True,USAGE,1,-0.0015145826270008644,translation,3.0,12.0,11.0,0.3333333333333333,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,116.0,word sense disambiguation,5.0,12.0,25.0,0.5,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,119.0
81,81,"['automated', 'evaluation', 'techniques', 'originally', 'devised', 'for', 'the', 'evaluation', 'of', ',', 'to', 'the', 'output']",H01-1042.1,H01-1042.3,"(H01-1042.1,H01-1042.3)",1,"['H01-1042.1', 'H01-1042.3']",False,USAGE,1,-0.0030938291967960822,automated evaluation techniques,12.0,25.0,31.0,0.52,18.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,97.0,output,22.0,25.0,6.0,0.92,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,116.0,111.0
96,96,"['intelligibility', 'of', 'MT', 'output']",H01-1042.10,H01-1042.11,"(H01-1042.10,H01-1042.11)",1,"['H01-1042.10', 'H01-1042.11']",False,MODEL-FEATURE,2,-0.003934548841259344,intelligibility,12.0,15.0,15.0,0.8666666666666667,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,121.0,105.0,MT output,14.0,15.0,9.0,1.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,116.0,77.0
106,106,"['spoken', 'language', 'understanding', 'system', 'with', 'intelligent', 'mobile', 'agents']",H01-1049.3,H01-1049.4,"(H01-1049.3,H01-1049.4)",1,"['H01-1049.3', 'H01-1049.4']",True,PART_WHOLE,3,-0.003039804347183393,spoken language understanding system,3.0,12.0,36.0,0.3333333333333333,9.0,9.0,17.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,109.0,115.0,intelligent mobile agents,5.0,12.0,25.0,0.5,9.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0
117,117,"['interpolation', 'methods', 'like', ',', 'improve', 'the', 'performance']",H01-1058.2,H01-1058.4,"(H01-1058.2,H01-1058.4)",1,"['H01-1058.2', 'H01-1058.4']",False,RESULT,5,-0.0035581119754646406,interpolation methods,4.0,19.0,21.0,0.2631578947368421,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,105.0,performance,9.0,19.0,11.0,0.5263157894736842,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,112.0
139,139,"['word', 'string', 'with', 'the', 'best', 'performance']",H01-1058.9,H01-1058.10,"(H01-1058.9,H01-1058.10)",1,"['H01-1058.9', 'H01-1058.10']",False,RESULT,5,-0.002891504523299989,word string,8.0,31.0,11.0,0.2903225806451613,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,103.0,119.0,performance,12.0,31.0,11.0,0.41935483870967744,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,112.0
153,153,"['word', 'string', 'has', 'been', 'obtained', 'by', 'using', 'a', 'different', 'LM']",H01-1058.13,H01-1058.14,"(H01-1058.13,H01-1058.14)",1,"['H01-1058.13', 'H01-1058.14']",True,RESULT,5,-0.002205482191509671,word string,22.0,31.0,11.0,0.7419354838709677,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,103.0,119.0,LM,30.0,31.0,2.0,1.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,77.0,76.0
158,158,"['dynamic', 'combiner', 'with', 'using', 'the', 'reference']",H01-1058.16,H01-1058.18,"(H01-1058.16,H01-1058.18)",1,"['H01-1058.16', 'H01-1058.18']",True,USAGE,1,-0.003329570319917467,dynamic combiner,6.0,12.0,16.0,0.5833333333333334,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,114.0,100.0,reference,11.0,12.0,9.0,1.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,114.0
160,160,"['dynamic', 'language', 'model', 'combination', 'to', 'improve', 'the', 'performance']",H01-1058.19,H01-1058.20,"(H01-1058.19,H01-1058.20)",1,"['H01-1058.19', 'H01-1058.20']",False,RESULT,5,-0.00268002707828847,dynamic language model combination,11.0,17.0,34.0,0.7058823529411765,6.0,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,100.0,performance,15.0,17.0,11.0,0.9411764705882352,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,112.0
164,164,"['LMs', 'with', 'confidence', 'measures']",H01-1058.24,H01-1058.25,"(H01-1058.24,H01-1058.25)",1,"['H01-1058.24', 'H01-1058.25']",True,MODEL-FEATURE,2,-0.0028155841478487344,LMs,5.0,21.0,3.0,0.2857142857142857,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,76.0,confidence measures,7.0,21.0,19.0,0.3809523809523809,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,99.0
173,173,"['LM', 'with', 'the', 'best', 'confidence']",H01-1058.27,H01-1058.28,"(H01-1058.27,H01-1058.28)",1,"['H01-1058.27', 'H01-1058.28']",True,MODEL-FEATURE,2,-0.003414298342179882,LM,16.0,21.0,2.0,0.8095238095238095,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,77.0,76.0,confidence,20.0,21.0,10.0,1.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,101.0,99.0
