Unnamed: 0,Unnamed: 0.1,Instances,Entity1ID,Entity2ID,Entity Pair,LabelInput,Pairs,Reverse,detail,label_index,means,word_x,positionInSentence_x,wordsInSentence_x,wordLen_x,relativePosition_x,posTag01_x,posTag02_x,posTag03_x,posTag04_x,posTag05_x,posTag06_x,posTag07_x,posTag08_x,posTag09_x,posTag10_x,posTag11_x,posTag12_x,lastLetterInt_x,firstLetterInt_x,word_y,positionInSentence_y,wordsInSentence_y,wordLen_y,relativePosition_y,posTag01_y,posTag02_y,posTag03_y,posTag04_y,posTag05_y,posTag06_y,posTag07_y,posTag08_y,posTag09_y,posTag10_y,posTag11_y,posTag12_y,lastLetterInt_y,firstLetterInt_y
1286,1286,"['translation', 'of', 'the', 'words']",I05-2021.12,I05-2021.13,"(I05-2021.12,I05-2021.13)",1,"['I05-2021.12', 'I05-2021.13']",False,MODEL-FEATURE,2,-0.0021387704965230587,translation,21.0,27.0,11.0,0.8148148148148148,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,116.0,words,24.0,27.0,5.0,0.925925925925926,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,119.0
1292,1292,"['accuracy', 'of', 'SMT', 'models']",I05-2021.16,I05-2021.17,"(I05-2021.16,I05-2021.17)",1,"['I05-2021.16', 'I05-2021.17']",True,RESULT,5,-0.0014295176097324914,accuracy,4.0,19.0,8.0,0.2631578947368421,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,121.0,97.0,SMT models,6.0,19.0,10.0,0.3684210526315789,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,83.0
1301,1301,"['SMT', 'models', 'do', 'have', 'limitations', 'in', 'comparison', 'with', 'dedicated', 'WSD', 'models']",I05-2021.23,I05-2021.24,"(I05-2021.23,I05-2021.24)",1,"['I05-2021.23', 'I05-2021.24']",False,COMPARE,4,-0.0020556729764510426,SMT models,15.0,37.0,10.0,0.4324324324324325,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,83.0,WSD models,23.0,37.0,10.0,0.6486486486486487,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,87.0
1308,1308,"['SMT', 'gives', 'competitive', 'results', 'to', 'rule-based', 'translation', 'systems']",I05-2048.3,I05-2048.4,"(I05-2048.3,I05-2048.4)",1,"['I05-2048.3', 'I05-2048.4']",False,COMPARE,4,-0.0020183993469585076,SMT,19.0,30.0,3.0,0.6666666666666666,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,84.0,83.0,rule-based translation systems,24.0,30.0,30.0,0.8333333333333334,6.0,9.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,114.0
1319,1319,"['English-Chinese', 'bitexts', 'of', 'the', 'laws', 'of', 'Hong', 'Kong', 'from', 'the', 'Web']",I05-4010.1,I05-4010.2,"(I05-4010.1,I05-4010.2)",1,"['I05-4010.1', 'I05-4010.2']",False,PART_WHOLE,3,-0.002961437045482166,English-Chinese bitexts,10.0,34.0,23.0,0.3235294117647059,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,69.0,Web,19.0,34.0,3.0,0.5882352941176471,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,98.0,87.0
1330,1330,"['English-Chinese', 'bitexts', 'in', 'a', 'larger', 'volume', 'from', 'the', 'Web']",I05-4010.11,I05-4010.12,"(I05-4010.11,I05-4010.12)",1,"['I05-4010.11', 'I05-4010.12']",False,PART_WHOLE,3,-0.0031708493481678174,English-Chinese bitexts,13.0,21.0,23.0,0.6666666666666666,6.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,69.0,Web,20.0,21.0,3.0,1.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,98.0,87.0
1331,1331,"['machine', 'translation', '(MT)', 'evaluation', 'is', 'closely', 'related', 'to', 'the', 'task', 'of', 'sentence-level', 'semantic', 'equivalence', 'classification']",I05-5003.1,I05-5003.2,"(I05-5003.1,I05-5003.2)",1,"['I05-5003.1', 'I05-5003.2']",False,COMPARE,4,-0.002918217122315402,machine translation MT evaluation,3.0,12.0,33.0,0.3333333333333333,9.0,9.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,109.0,sentence-level semantic equivalence classification,11.0,12.0,50.0,1.0,9.0,6.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,115.0
1332,1332,"['MT', 'evaluation', 'methods', '(BLEU,', 'NIST,', 'WER', 'and', 'PER)', 'to', 'building', 'classifiers']",I05-5003.3,I05-5003.4,"(I05-5003.3,I05-5003.4)",1,"['I05-5003.3', 'I05-5003.4']",False,USAGE,1,-0.002368234751716493,MT evaluation methods BLEU NIST WER and PER,8.0,17.0,43.0,0.5294117647058824,9.0,9.0,11.0,9.0,9.0,9.0,2.0,5.0,-2.0,-2.0,-2.0,-2.0,82.0,77.0,classifiers,11.0,17.0,11.0,0.7058823529411765,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,99.0
1338,1338,"['classification', 'method', 'based', 'on', 'PER']",I05-5003.7,I05-5003.8,"(I05-5003.7,I05-5003.8)",1,"['I05-5003.7', 'I05-5003.8']",True,USAGE,1,-0.0017002009630203247,classification method,5.0,22.0,21.0,0.2727272727272727,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,100.0,99.0,PER,8.0,22.0,3.0,0.4090909090909091,5.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,82.0,80.0
1347,1347,"['part', 'of', 'speech', 'information', 'of', 'the', 'words']",I05-5003.9,I05-5003.10,"(I05-5003.9,I05-5003.10)",1,"['I05-5003.9', 'I05-5003.10']",False,MODEL-FEATURE,2,-0.0027508822034616946,part of speech information,11.0,22.0,26.0,0.5454545454545454,9.0,5.0,9.0,9.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,110.0,112.0,words,14.0,22.0,5.0,0.6818181818181818,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,115.0,119.0
